flow_id,rflow_id,name,uploader,num_duplicates,ignore
7595,7595,TESTTESTbc9491a9d2sklearn.tree.tree.DecisionTreeClassifier,865,1,1
7562,7562,TESTTESTea251110aesklearn.naive_bayes.GaussianNB,865,1,1
7568,7568,TESTTESTee8927c814sklearn.naive_bayes.GaussianNB,865,1,1
7588,7588,TESTTESTfd184a99dbsklearn.naive_bayes.GaussianNB,865,1,1
7558,7558,TESTa458cc393dsklearn.feature_selection.variance_threshold.VarianceThreshold,865,1,1
7559,7559,TESTa458cc393dsklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier),865,1,1
7554,7554,"TESTa458cc393dsklearn.pipeline.Pipeline(Imputer=sklearn.preprocessing.imputation.Imputer,VarianceThreshold=sklearn.feature_selection.variance_threshold.VarianceThreshold,Estimator=sklearn.model_selection._search.RandomizedSearchCV(estimator=sklearn.tree.tree.DecisionTreeClassifier))",865,1,1
7556,7556,TESTa458cc393dsklearn.preprocessing.imputation.Imputer,865,1,1
7560,7560,TESTa458cc393dsklearn.tree.tree.DecisionTreeClassifier,865,1,1
7349,7349,TESTa6c815c120sklearn.dummy.DummyClassifier,865,1,1
7347,7347,"TESTa6c815c120sklearn.pipeline.Pipeline(scaler=sklearn.preprocessing.data.StandardScaler,dummy=sklearn.dummy.DummyClassifier)",865,1,1
7348,7348,TESTa6c815c120sklearn.preprocessing.data.StandardScaler,865,1,1
7454,7454,TESTa76435d0e1sklearn.dummy.DummyClassifier,865,1,1
7546,7546,TESTaa4d91fe80sklearn.feature_selection.variance_threshold.VarianceThreshold,865,1,1
